hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [3.202814706699222e-07], 3.202814706699222e-07, 4.788014726524885e-06,None, None, None
False, [4.920571097161676e-07], 4.920571097161676e-07, 7.145515189597622e-06,None, None, None
False, [2.8494834047048925e-07], 2.8494834047048925e-07, 4.292937356975542e-06,None, None, None
False, [1.6411854977857396e-08], 1.6411854977857396e-08, 2.9239427253257866e-07,[3.8940943446757707e-07], 3.8940943446757707e-07, 5.745675656970768e-06
False, [5.569546725953634e-07], 5.569546725953634e-07, 8.019142733519107e-06,None, None, None
False, [3.0138908249707715e-08], 3.0138908249707715e-08, 5.201972576360653e-07,[6.448975806622703e-07], 6.448975806622703e-07, 9.191057117441096e-06
False, [2.3238267309605131e-07], 2.3238267309605131e-07, 3.548090043829282e-06,None, None, None
False, [2.389228779182099e-07], 2.389228779182099e-07, 3.641362278120661e-06,None, None, None
False, [2.9629241104228423e-07], 2.9629241104228423e-07, 4.452340329753061e-06,None, None, None
False, [2.0241011887972286e-07], 2.0241011887972286e-07, 3.1181997740367323e-06,None, None, None
False, [2.6236209115520745e-07], 2.6236209115520745e-07, 3.974199156991212e-06,None, None, None
False, [2.2059712811167424e-07], 2.2059712811167424e-07, 3.37954355137329e-06,None, None, None
False, [3.9671247797084814e-07], 3.9671247797084814e-07, 5.8460893643739885e-06,None, None, None
False, [5.173427677280207e-07], 5.173427677280207e-07, 7.486861573519691e-06,None, None, None
False, [4.571003966364312e-07], 4.571003966364312e-07, 6.6714575824782095e-06,None, None, None
False, [3.152601219997245e-07], 3.152601219997245e-07, 4.7179053479120455e-06,None, None, None
False, [3.9686112351116873e-07], 3.9686112351116873e-07, 5.848131771750655e-06,None, None, None
False, [1.6915008237699817e-07], 1.6915008237699817e-07, 2.635909936281086e-06,[2.0044768510868168e-07], 2.0044768510868168e-07, 3.089904756767281e-06
False, [4.811674454347464e-07], 4.811674454347464e-07, 6.9981124265001365e-06,None, None, None
False, [2.840834394308128e-07], 2.840834394308128e-07, 4.2807657528948946e-06,None, None, None
False, [1.6395116907713393e-07], 1.6395116907713393e-07, 2.559961052016742e-06,[1.9038050246561172e-07], 1.9038050246561172e-07, 2.9444463761298237e-06
False, [2.9735347872044955e-07], 2.9735347872044955e-07, 4.467227605279196e-06,None, None, None
False, [1.8572759862561518e-07], 1.8572759862561518e-07, 2.877039322173562e-06,[2.5216759346474407e-07], 2.5216759346474407e-07, 3.82970628222781e-06
False, [1.4421324400498413e-07], 1.4421324400498413e-07, 2.2700678955960903e-06,[1.9477314871235415e-07], 1.9477314871235415e-07, 3.0079785877392135e-06
False, [1.7451817590224682e-07], 1.7451817590224682e-07, 2.714162562002215e-06,[1.6954503045124307e-07], 1.6954503045124307e-07, 2.6416729804345926e-06
False, [4.191592619579548e-07], 4.191592619579548e-07, 6.153891501270217e-06,None, None, None
False, [1.860103520018834e-07], 1.860103520018834e-07, 2.8811388960681047e-06,[2.0907947194953286e-07], 2.0907947194953286e-07, 3.214219511681812e-06
False, [2.9005015100008454e-07], 2.9005015100008454e-07, 4.364681090822505e-06,None, None, None
False, [1.2194861112643699e-08], 1.2194861112643699e-08, 2.203955973538023e-07,[3.865823554522448e-07], 3.865823554522448e-07, 5.706767894311153e-06
False, [1.6411985192260338e-07], 1.6411985192260338e-07, 2.562427834959567e-06,[1.389069108543278e-07], 1.389069108543278e-07, 2.191686421264964e-06
False, [5.249515435596344e-07], 5.249515435596344e-07, 7.589332261041876e-06,None, None, None
False, [1.472308905820478e-07], 1.472308905820478e-07, 2.3145548526059402e-06,[1.3683050602847063e-07], 1.3683050602847063e-07, 2.160960408095273e-06
True, [1.3953344249525887e-08], 1.3953344249525887e-08, 2.505730100429463e-07,[8.0379072204233e-09], 8.0379072204233e-09, 1.479554233221245e-07
False, [2.3754109967083219e-07], 2.3754109967083219e-07, 3.6216713272707535e-06,None, None, None
False, [2.9720966487073166e-07], 2.9720966487073166e-07, 4.465210051929196e-06,None, None, None
False, [2.604092070785349e-07], 2.604092070785349e-07, 3.94655090024121e-06,None, None, None
False, [2.2602766413254135e-07], 2.2602766413254135e-07, 3.4572825794191178e-06,None, None, None
False, [5.49298887256352e-07], 5.49298887256352e-07, 7.916494979013421e-06,None, None, None
False, [3.519182438710937e-07], 3.519182438710937e-07, 5.227972294526489e-06,None, None, None
False, [3.2031671358961613e-07], 3.2031671358961613e-07, 4.788506517603532e-06,None, None, None
